logFC	logCPM	F	PValue	FDR
TSS2_19570055	-1.52920429384055	8.22799517086647	23.0850966440445	6.22782673500787e-06	0.188597277016243
TSS2_14863387	-1.49269274913015	10.8742239960731	18.8510768393314	3.72418028294274e-05	0.563896757541775
TSS1_27929483	-1.09189668454844	7.77190367754295	16.6399999664485	9.81022918380236e-05	0.674380480125731
TSS5_4936384	-1.1508431498988	8.6871988452853	16.4353710152032	0.000107442620967101	0.674380480125731
TSS3_6552140	-6.08009906674638	1.02826781970739	16.2330952101409	0.000119380262794146	0.674380480125731
TSS5_18053223	1.5628298127616	4.29953012849306	15.9469469728956	0.000133615655012858	0.674380480125731
TSS4_10905419	-1.32007208779396	5.23910440941749	15.0296420629202	0.00020195727741411	0.799327777800599
TSS5_22455100	-1.01399421868489	5.12110374429432	14.8202366267	0.00022208098697019	0.799327777800599
TSS1_19442315	-6.07902653206602	-0.291948448923723	14.7613404992052	0.000237557375431938	0.799327777800599
TSS3_5213003	-1.08564003864977	6.90347190806744	14.1995960168394	0.00029474300314871	0.836667410546013
TSS2_10609415	-1.04553243968024	7.3086377100651	14.1327393618714	0.000303911155301857	0.836667410546013
TSS1_3137468	-1.04363932394467	7.42820864111456	13.8094435723274	0.000352570172680173	0.838365289584984
TSS3_22371353	0.956912184129512	5.271986125021	13.7771822671334	0.000359896600885143	0.838365289584984
TSS1_7400604	0.910094126842305	5.35801275830867	13.4014710405836	0.000425642526835726	0.877505572016491
TSS4_16708623	-0.938567308857544	6.16608756401518	13.3562404825261	0.000434652563492632	0.877505572016491
TSS1_27179254	-2.49264017730776	2.53408514779746	13.0781150543849	0.000494547620708417	0.888780108519169
TSS5_18702030	-0.887221653459921	7.05135871818309	12.9585628955667	0.000522848026414253	0.888780108519169
TSS2_18910392	-0.975804139794765	6.7627830162122	12.9363616658863	0.000528284580568142	0.888780108519169
TSS5_1422895	0.81225035612744	6.72824674392437	12.5192827165553	0.000641992606416696	0.921645556360384
TSS5_19456960	-5.71715994849639	0.187974365103135	12.3635199494921	0.000711772923321321	0.921645556360384
TSS3_3548797	1.27304379475011	3.35407954557694	12.2452772883464	0.000730177516398778	0.921645556360384
TSS2_9130208	-0.970855627145481	5.34465339754675	12.241878850458	0.00073134645770767	0.921645556360384
TSS3_20698577	-0.863852816217595	7.68571315807978	12.1851558884906	0.000751144622270963	0.921645556360384
TSS5_2090391	-1.86294038154807	10.3266377814817	12.0177430765698	0.000812864027349443	0.921645556360384
TSS4_9262589	-1.05216331295965	4.6948814327496	11.9712536825275	0.000830914530380192	0.921645556360384
TSS3_6564429	-0.859229070975535	7.3384612745831	11.8408054016613	0.000883805059557103	0.921645556360384
TSS1_7610398	0.832104559303008	7.00791128833774	11.6530638529268	0.000966095005882864	0.921645556360384
TSS5_9377450	0.972786980049096	6.18905551937086	11.545238774071	0.00101689270442241	0.921645556360384
